,train_name,train_number,source,destination,distance,total_time,departure,arrival
3239,JIND - ROHTAK  Passenger (UnReserved),54006,JIND JN,ROHTAK JN,141,0 days 04:30:00,04:35:00,09:05:00
3240,ROHTAK - PANIPAT - JIND Passenger (UnReserved),54007,ROHTAK JN,JIND JN,141,0 days 04:15:00,09:30:00,13:45:00
3241,JIND - ROHTAK PASSENGER,54008,JIND JN,ROHTAK JN,141,0 days 04:10:00,10:00:00,14:10:00
3242,JIND - ROHTAK PASSENGER,54009,ROHTAK JN,JIND JN,141,0 days 04:50:00,17:50:00,22:40:00
3243,Rohtak Bhiwani Passenger,54013,ROHTAK JN,Bhiwani,49,0 days 01:05:00,14:10:00,15:15:00
3244,Bhiwani Rohtak Passenger,54014,Bhiwani,ROHTAK JN,49,0 days 01:50:00,07:20:00,09:10:00
3245,Rohtak Bhiwani Passenger,54015,ROHTAK JN,Bhiwani,49,0 days 01:25:00,17:40:00,19:05:00
3246,Bhiwani Rohtak Passenger,54016,Bhiwani,ROHTAK JN,49,0 days 01:05:00,09:55:00,11:00:00
3247,Bhiwani Rohtak Passenger,54018,Bhiwani,ROHTAK JN,49,0 days 01:20:00,16:00:00,17:20:00
3248,Tilak Bridge Passenger,54021,Bulandshahr,NEW DELHI,101,0 days 03:33:00,05:25:00,08:58:00
3249,Rohtak Jind Passenger,54023,ROHTAK JN,JIND JN,57,0 days 01:25:00,07:00:00,08:25:00
3250,Jind Delhi Passenger,54024,JIND JN,OLD DELHI,127,0 days 04:15:00,17:40:00,21:55:00
3251,Jind Sirsa Passenger,54043,JIND JN,Sirsa,245,0 days 06:20:00,16:25:00,22:45:00
3252,Sirsa Jind Passenger,54044,Sirsa,JIND JN,245,0 days 08:25:00,06:25:00,14:50:00
3253,Jind Firozpur Passenger,54045,JIND JN,FIROZPUR CANT,258,0 days 09:10:00,03:25:00,12:35:00
3254,Jind Firozpur Passenger,54046,FIROZPUR CANT,JIND JN,258,0 days 09:00:00,14:05:00,23:05:00
3255,Ludhiana Firozpur Passenger,54051,LUDHIANA JN,FIROZPUR CANT,124,0 days 02:55:00,10:05:00,13:00:00
3256,Ludhiana Firozpur Passenger,54052,FIROZPUR CANT,LUDHIANA JN,124,0 days 02:50:00,13:45:00,16:35:00
3257,Jakhal Ludhiana Passenger,54053,JAKHAL JN,LUDHIANA JN,129,0 days 03:10:00,05:20:00,08:30:00
3258,Ludhiana Jakhal Passenger,54054,LUDHIANA JN,JAKHAL JN,129,0 days 03:20:00,19:00:00,22:20:00
3259,Bareilly Delhi Passenger,54077,BAREILLY,OLD DELHI,274,0 days 09:55:00,17:45:00,03:40:00
3260,Shajahanpur Passenger Slip Ex Bareilly,54078,OLD DELHI,BAREILLY,274,0 days 09:15:00,23:40:00,08:55:00
3261,Najibabad Kotdwara Pass,54091,NAJIBABAD JN,KOTDWARA,24,0 days 00:45:00,20:15:00,21:00:00
3262,Mughal Sarai Allahabad Passenger,54104,ALLAHABAD JN,CHUNAR,120,0 days 03:10:00,18:30:00,21:40:00
3263,DELHI - JIND PASSENGER,54031,OLD DELHI,JIND JN,127,0 days 04:00:00,11:55:00,15:55:00
3264,JIND - DELHI PASSENGER,54032,JIND JN,OLD DELHI,127,0 days 03:50:00,07:45:00,11:35:00
3265,OLD DELHI - NARWANA Pass,54033,OLD DELHI,NARWANA JN,127,0 days 04:25:00,17:20:00,21:45:00
3266,JIND - DELHI Pass,54034,JIND JN,OLD DELHI,127,0 days 03:50:00,15:55:00,19:45:00
3267,DELHI  - JAKHAL PASSENGER,54035,OLD DELHI,JAKHAL JN,199,0 days 06:10:00,15:25:00,21:35:00
3268,JAKHAL - DELHI PASSENGER,54036,JAKHAL JN,OLD DELHI,199,0 days 06:20:00,04:20:00,10:40:00
3269,Kurukshetra Jind Passenger,54037,KURUKSHETRA JN,JIND JN,126,0 days 03:25:00,07:55:00,11:20:00
3270,Jind Kurukshetra Passenger,54038,JIND JN,KURUKSHETRA JN,126,0 days 03:05:00,04:20:00,07:25:00
3271,Kurukshetra Jind Passenger,54039,KURUKSHETRA JN,JIND JN,126,0 days 03:15:00,12:30:00,15:45:00
3272,Jind Kurukshetra Passenger,54040,JIND JN,KURUKSHETRA JN,126,0 days 03:05:00,08:35:00,11:40:00
3273,Kurukshetra Jind Passenger,54041,KURUKSHETRA JN,JIND JN,126,0 days 03:05:00,18:20:00,21:25:00
3274,Jind Kurukshetra Passenger,54042,JIND JN,KURUKSHETRA JN,126,0 days 03:05:00,13:10:00,16:15:00
3275,Jind Kurukshetra Passenger,54047,KURUKSHETRA JN,JIND JN,126,0 days 02:45:00,21:50:00,00:35:00
3276,Jind Nrw Kurukshetra Passenger,54048,JIND JN,KURUKSHETRA JN,126,0 days 03:20:00,17:45:00,21:05:00
3277,ROHTAK - JIND PASSENGER,54049,ROHTAK JN,JIND JN,141,0 days 04:20:00,04:05:00,08:25:00
3278,ROHTAK - JIND PASSENGER,54050,JIND JN,ROHTAK JN,141,0 days 04:10:00,16:00:00,20:10:00
3279,Moradabad Delhi Passenger,54055,MORADABAD,OLD DELHI,164,0 days 04:45:00,15:00:00,19:45:00
3280,Delhi Shamli Passenger,54057,OLD DELHI,SHAMLI,94,0 days 03:25:00,21:00:00,00:25:00
3281,Shamli Delhi Passenger,54058,SHAMLI,OLD DELHI,94,0 days 03:15:00,03:15:00,06:30:00
3282,Delhi Shamli Passenger,54059,OLD DELHI,SHAMLI,94,0 days 02:35:00,22:50:00,01:25:00
3283,Shamli Delhi Passenger,54060,SHAMLI,OLD DELHI,94,0 days 03:30:00,06:30:00,10:00:00
3284,Hoshiarpur Jalandhar DMU,54071,Hoshiarpur,JALANDHAR CITY,43,0 days 01:10:00,19:10:00,20:20:00
3285,Jalandhar Hoshiarpur DMU,54072,JALANDHAR CITY,Hoshiarpur,43,0 days 01:25:00,05:00:00,06:25:00
3286,Sitapur Delhi Passenger,54075,SITAPUR CITY,OLD DELHI,409,0 days 13:00:00,14:40:00,03:40:00
3287,Delhi - Sitapur Cant Passenger,54076,OLD DELHI,SITAPUR CITY,409,0 days 13:55:00,23:40:00,13:35:00
3288,Delhi Rewari Pass,54085,OLD DELHI,REWARI,82,0 days 02:35:00,07:00:00,09:35:00
3289,Rewari Delhi Pass,54086,REWARI,OLD DELHI,82,0 days 03:15:00,10:25:00,13:40:00
3290,Kanpur Allahabad Passenger,54102,KANPUR CENTRAL,ALLAHABAD JN,214,0 days 07:10:00,03:00:00,10:10:00
3291,Mughalsarai Allahabad Passenger,54105,MUGHAL SARAI JN,ALLAHABAD JN,152,0 days 04:15:00,16:00:00,20:15:00
3292,Allahabad Mughal Sarai Passenger,54106,ALLAHABAD JN,MUGHAL SARAI JN,152,0 days 04:00:00,07:10:00,11:10:00
3293,Allahabad Jaunpur Passenger,54107,ALLAHABAD JN,JAUNPUR JN,113,0 days 04:35:00,17:00:00,21:35:00
3294,Allahabad Jaunpur Passenger,54108,JAUNPUR JN,ALLAHABAD JN,113,0 days 05:00:00,05:45:00,10:45:00
3295,Mughal Sarai Faizabad Passenger,54109,MUGHAL SARAI JN,FAIZABAD JN,223,0 days 06:50:00,16:40:00,23:30:00
3296,Jhansi Kanpur Passenger,54157,JHANSI JN,KANPUR CENTRAL,222,0 days 06:05:00,07:55:00,14:00:00
3297,Kanpur Jhansi Passenger,54158,KANPUR CENTRAL,JHANSI JN,214,0 days 05:57:00,06:28:00,12:25:00
3298,Banda Jhansi Passenger,54160,BANDA JN,JHANSI JN,191,0 days 04:25:00,17:50:00,22:15:00
3299,Kila Hathras Passenger,54192,Hathras Kila,HATHRAS JN,9,0 days 00:25:00,16:05:00,16:30:00
3300,Hathras Kila Passenger,54193,HATHRAS JN,Hathras Kila,9,0 days 00:25:00,08:50:00,09:15:00
3301,RBL RAGHURAJ SINGH PASS,54221,RAE BARELI JN,Raghuraj Singh,56,0 days 01:55:00,06:05:00,08:00:00
3302,RBL RAGHURAJ SINGH PASS,54223,RAE BARELI JN,Raghuraj Singh,56,0 days 02:20:00,17:05:00,19:25:00
3303,Raibareli Unchahar Passenger,54226,RAE BARELI JN,Unchahar Junction,38,0 days 00:50:00,08:35:00,09:25:00
3304,Lucknow-Faizabad Passenger,54232,LUCKNOW,FAIZABAD JN,127,0 days 03:45:00,04:45:00,08:30:00
3305,Lucknow Faizabad Passenger,54234,LUCKNOW,FAIZABAD JN,127,0 days 03:35:00,17:05:00,20:40:00
3306,Mankapur Faizabad Passenger,54239,MANKAPUR JN,AYODHYA,37,0 days 01:05:00,08:20:00,09:25:00
3307,Mankapur Ayodhya Passenger,54243,MANKAPUR JN,AYODHYA,37,0 days 01:10:00,17:00:00,18:10:00
3308,Lucknow Saharanpur Passenger,54251,LUCKNOW,SAHARANPUR,519,0 days 18:35:00,23:45:00,18:20:00
3309,Lucknow Pratapgarh,54254,LUCKNOW,PRAYAG,225,0 days 07:50:00,04:50:00,12:40:00
3310,Arrah-Sasaram-Mughal Sarai Passenger,54271,ARA,MUGHAL SARAI JN,198,0 days 06:20:00,13:00:00,19:20:00
3311,Barharwa- Rampurhat Passenger,53138,BARHARWA JN,RAMPUR HAT,79,0 days 02:10:00,09:50:00,12:00:00
3312,Faizabad Mughal Sarai Passenger,54110,FAIZABAD JN,MUGHAL SARAI JN,223,0 days 06:35:00,03:25:00,10:00:00
3313,Fatehpur Kanpur Passenger,54151,FATEHPUR,KANPUR CENTRAL,77,0 days 02:20:00,07:20:00,09:40:00
3314,Kanpur Fatehpur Passenger,54152,KANPUR CENTRAL,FATEHPUR,77,0 days 02:40:00,18:15:00,20:55:00
3315,Rae Bareli Kanpur Passenger,54153,RAE BARELI JN,KANPUR CENTRAL,167,0 days 05:50:00,03:00:00,08:50:00
3316,Kanpur Rae Bareli Passenger,54154,KANPUR CENTRAL,RAE BARELI JN,167,0 days 06:08:00,16:32:00,22:40:00
3317,Manikpur Kanpur Passenger,54155,MANIKPUR JN,KANPUR CENTRAL,267,0 days 06:35:00,14:30:00,21:05:00
3318,Kanpur Manikpur Passenger,54156,KANPUR CENTRAL,MANIKPUR JN,259,0 days 06:24:00,07:21:00,13:45:00
3319,Rae Bareli Kanpur Passenger,54211,RAE BARELI JN,KANPUR CENTRAL,127,0 days 05:25:00,05:10:00,10:35:00
3320,Kanpur Rae Bareli Passenger,54212,KANPUR CENTRAL,RAE BARELI JN,189,0 days 04:25:00,14:30:00,18:55:00
3321,Lalganj Dalmau Rai Bareli Passenger,54222,Raghuraj Singh,RAE BARELI JN,56,0 days 01:45:00,08:20:00,10:05:00
3322,LalGanj Rae Bareli Passenger,54224,Raghuraj Singh,RAE BARELI JN,56,0 days 01:50:00,20:30:00,22:20:00
3323,Unchahar Raebareli Shuttle,54225,Unchahar Junction,RAE BARELI JN,38,0 days 00:50:00,09:55:00,10:45:00
3324,Unchahar Raebareli Shuttle,54227,Unchahar Junction,RAE BARELI JN,38,0 days 01:15:00,17:15:00,18:30:00
3325,Raibareli Unchahar Passenger,54228,RAE BARELI JN,Unchahar Junction,38,0 days 00:50:00,15:45:00,16:35:00
3326,Faizabad Lucknow Passenger,54233,FAIZABAD JN,LUCKNOW,127,0 days 03:55:00,17:30:00,21:25:00
3327,Mankapur Ayodhya Passenger,54237,MANKAPUR JN,FAIZABAD JN,43,0 days 01:35:00,20:15:00,21:50:00
3328,Faizabad Mankapur Passenger,54238,FAIZABAD JN,MANKAPUR JN,43,0 days 01:25:00,04:50:00,06:15:00
3329,Ayodhya Mankapur Passenger,54240,AYODHYA,MANKAPUR JN,37,0 days 01:20:00,10:00:00,11:20:00
3330,Ayodhya Mankapur Passenger,54244,AYODHYA,MANKAPUR JN,37,0 days 01:00:00,18:45:00,19:45:00
3331,Saharanpur Lucknow Passenger,54252,SAHARANPUR,LUCKNOW,520,0 days 19:45:00,08:20:00,04:05:00
3332,Prayag Ghat Lucknow Passenger,54253,PRAYAG,LUCKNOW,225,0 days 09:10:00,14:40:00,23:50:00
3333,VARANASI - LUCKNOW PASSENGER,54255,VARANASI JN,LUCKNOW,257,0 days 14:55:00,00:00:00,14:55:00
3334,LUCKNOW - VARANASI PASSENGER,54256,LUCKNOW,VARANASI JN,301,0 days 09:30:00,11:15:00,20:45:00
3335,Mughal Sarai Jaunpur Passenger,54262,JAUNPUR JN,VARANASI JN,57,0 days 02:00:00,03:15:00,05:15:00
3336,Varanasi Sultanpur Passenger,54263,VARANASI JN,SULTANPUR,155,0 days 04:00:00,05:50:00,09:50:00
3337,Sultanpur Varanasi Passenger,54264,SULTANPUR,VARANASI JN,155,0 days 03:40:00,06:35:00,10:15:00
3338,Varanasi Sultanpur Passenger,54265,VARANASI JN,SULTANPUR,155,0 days 04:05:00,16:15:00,20:20:00
3339,Sultanpur Varanasi Passenger,54266,SULTANPUR,VARANASI JN,155,0 days 04:40:00,18:15:00,22:55:00
3340,Mughal Sarai Varanasi Passenger,54267,MUGHAL SARAI JN,VARANASI JN,17,0 days 00:45:00,08:45:00,09:30:00
3341,Varanasi Mughal Sarai Passenger,54270,VARANASI JN,MUGHAL SARAI JN,17,0 days 00:40:00,18:25:00,19:05:00
3342,Arrah Sasaram Passenger,54273,ARA,SASARAM,98,0 days 03:30:00,04:30:00,08:00:00
3343,Sasaram Arrah Passenger,54274,SASARAM,ARA,98,0 days 03:30:00,08:20:00,11:50:00
3344,Partapgarh Lucknow Passenger,54293,PARTAPGARH JN,LUCKNOW,173,0 days 06:05:00,05:40:00,11:45:00
3345,Lucknow Partapgarh Passenger,54294,LUCKNOW,PARTAPGARH JN,173,0 days 06:20:00,13:45:00,20:05:00
3346,Delhi Kalka Passenger,54303,OLD DELHI,Kalka,302,0 days 08:10:00,15:30:00,23:40:00
3347,Kalka Delhi Passenger,54304,Kalka,OLD DELHI,337,0 days 12:25:00,07:15:00,19:40:00
3348,Rewari Delhi Passenger,54310,REWARI,OLD DELHI,82,0 days 02:50:00,09:30:00,12:20:00
3349,Shahjehanpur Sitapur Passenger,54328,SHAHJEHANPUR,SITAPUR CANT,92,0 days 02:55:00,06:20:00,09:15:00
3350,Balamau Shahjahanpur Passenger,54329,BALAMU JN,SHAHJEHANPUR,96,0 days 02:50:00,17:30:00,20:20:00
3351,Shahjehanpur Balamu Passenger,54330,SHAHJEHANPUR,BALAMU JN,96,0 days 02:50:00,08:55:00,11:45:00
3352,Lucknow Balamau Passenger,54331,LUCKNOW,BALAMU JN,69,0 days 02:00:00,17:05:00,19:05:00
3353,Balamu Lucknow Passenger,54332,BALAMU JN,LUCKNOW,69,0 days 01:40:00,07:50:00,09:30:00
3354,Lucknow Varanasi Passenger,54334,LUCKNOW,VARANASI JN,347,0 days 10:10:00,12:45:00,22:55:00
3355,Aligarh Bareilly Passenger,54351,ALIGARH JN,BAREILLY,167,0 days 06:30:00,11:50:00,18:20:00
3356,Bareilly Aligarh Passenger,54352,BAREILLY,ALIGARH JN,160,0 days 05:40:00,05:10:00,10:50:00
3357,TUNDLA - FARRUKHABAD PASSENGER,54466,TUNDLA JN,FARRUKHABAD,389,0 days 14:25:00,20:25:00,10:50:00
3358,Secunderabad- Hazrat Nizamuddin Duronto Express,12285,SECUNDERABAD JN,DELHI H NIZAMUDDIN,1660,0 days 21:05:00,13:30:00,10:35:00
3359,Gujarat Sampark Kranti Express,12918,DELHI H NIZAMUDDIN,AHMEDABAD JN,1085,0 days 16:30:00,14:05:00,06:35:00
3360,Secunderabad Sainagar Shirdi Express,17002,SECUNDERABAD JN,SAINAGAR SHIRDI,776,0 days 16:35:00,16:40:00,09:15:00
3361,Machilipatnam Express Slip,17050-Slip,SECUNDERABAD JN,Manuguru,331,0 days 08:20:00,22:45:00,07:05:00
3362,Bhusaval Nagpur (Triweekly) Express,22111,BHUSAVAL JN,NAGPUR,604,0 days 10:25:00,05:35:00,16:00:00
3363,Secunderabad Falaknuma MMTS,47172,SECUNDERABAD JN,KACHEGUDA FALAKNUMA,14,0 days 00:30:00,06:00:00,06:30:00
3364,Secunderabad Falaknuma MMTS,47205,SECUNDERABAD JN,KACHEGUDA FALAKNUMA,14,0 days 00:30:00,04:50:00,05:20:00
3365,Gonda Mailani Passenger,52253,GONDA JN,MAILANI,330,0 days 07:20:00,02:30:00,09:50:00
3366,Barharwa Sahibganj Passenger,53411,BARHARWA JN,SAHIBGANJ JN,53,0 days 01:30:00,12:30:00,14:00:00
3367,Dehri on Sone Gaya Passenger,53608,DEHRI ON SONE,GAYA JN,85,0 days 01:58:00,18:52:00,20:50:00
3368,Faizabad Lucknow Passenger,54231,FAIZABAD JN,LUCKNOW,127,0 days 03:35:00,05:45:00,09:20:00
3369,Mughal Sarai-Sasaram-Arrah Passenger,54272,MUGHAL SARAI JN,ARA,198,0 days 05:45:00,19:15:00,01:00:00
3370,Sultanpur Lucknow Passenger,54281,SULTANPUR,LUCKNOW,140,0 days 04:25:00,06:20:00,10:45:00
3371,Lucknow Sultanpur Passenger,54282,LUCKNOW,SULTANPUR,140,0 days 03:55:00,06:00:00,09:55:00
3372,Sultanpur Lucknow Passenger,54283,SULTANPUR,LUCKNOW,140,0 days 04:35:00,18:30:00,23:05:00
3373,Lucknow Sultanpur Passenger,54284,LUCKNOW,SULTANPUR,140,0 days 04:05:00,18:55:00,23:00:00
3374,Varanasi Partapgarh Passenger,54291,VARANASI JN,PARTAPGARH JN,128,0 days 04:10:00,16:50:00,21:00:00
3375,Partapgarh Varanasi Passenger,54292,PARTAPGARH JN,VARANASI JN,128,0 days 03:45:00,05:15:00,09:00:00
3376,Hapur Ghaziabad Shuttle,54301,HAPUR,GHAZIABAD,37,0 days 01:05:00,09:20:00,10:25:00
3377,Ghaziabad Hapur Passenger,54302,GHAZIABAD,HAPUR,37,0 days 01:20:00,16:15:00,17:35:00
3378,Moradabad Bareilly Passenger,54312,MORADABAD,BAREILLY,113,0 days 03:30:00,08:00:00,11:30:00
3379,Sitapur Cantt Balamau Passenger,54322,SITAPUR CANT,BALAMU JN,69,0 days 02:35:00,18:15:00,20:50:00
3380,BURHWAL - SITAPUR CANT PASSENGER,54323,BURHWAL,SITAPUR CANT,97,0 days 02:20:00,15:45:00,18:05:00
3381,SITAPUR - BURHWAL Passenger,54324,SITAPUR CANT,BURHWAL,97,0 days 02:25:00,12:35:00,15:00:00
3382,Sitapur Kanpur DMU,54325,SITAPUR CANT,KANPUR CENTRAL,186,0 days 08:50:00,10:45:00,19:35:00
3383,KANPUR SITAPUR PASS,54326,KANPUR CENTRAL,SITAPUR CANT,185,0 days 09:25:00,05:15:00,14:40:00
3384,Sitapur Shahjehanpur Passenger,54327,SITAPUR CITY,SHAHJEHANPUR,87,0 days 02:20:00,17:05:00,19:25:00
3385,Varanasi Lucknow Passenger,54333,VARANASI JN,LUCKNOW,333,0 days 12:00:00,04:10:00,16:10:00
3386,Balamau Kanpur Passenger,54335,BALAMU JN,KANPUR CENTRAL,117,0 days 04:35:00,07:15:00,11:50:00
3387,Sharanpur Dehradun Passenger,54341,SAHARANPUR,DEHRADUN,132,0 days 05:05:00,14:30:00,19:35:00
3388,Dehradun Saharanpur Passenger,54342,DEHRADUN,SAHARANPUR,132,0 days 04:55:00,08:15:00,13:10:00
3389,BAREILLY - ALIGARH PASSENGER,54354,BAREILLY,ALIGARH JN,160,0 days 05:50:00,09:00:00,14:50:00
3390,Roza Bareilly Passenger,54355,ROZA JN,BAREILLY,78,0 days 02:30:00,06:10:00,08:40:00
3391,Bareilley Roza junction passenger,54356,BAREILLY,ROZA JN,78,0 days 02:15:00,17:55:00,20:10:00
3392,Prayag Faizabad Passenger,54371,PRAYAG,FAIZABAD JN,151,0 days 05:30:00,05:35:00,11:05:00
3393,Faizabad Prayag Passenger,54372,FAIZABAD JN,PRAYAG,151,0 days 06:15:00,13:20:00,19:35:00
3394,Faizabad Prayag Passenger,54374,FAIZABAD JN,PRAYAG,151,0 days 05:35:00,17:45:00,23:20:00
3395,Prayag Jaunpur Passenger,54375,PRAYAG,JAUNPUR JN,107,0 days 03:30:00,06:35:00,10:05:00
3396,Jaunpur Prayag Passenger,54376,JAUNPUR JN,PRAYAG,107,0 days 03:55:00,17:00:00,20:55:00
3397,MORADABAD  -  ALIGARH PASSENGER,54392,MORADABAD,ALIGARH JN,172,0 days 05:50:00,17:25:00,23:15:00
3398,Khurja Meerut Passenger,54401,KHURJA JN,MEERUT CITY,94,0 days 03:20:00,06:15:00,09:35:00
3399,Khurja Meerut Passenger,54403,KHURJA JN,MEERUT CITY,94,0 days 03:00:00,12:50:00,15:50:00
3400,BANDIKUI - BAREILLY Passenger,54461,BANDIKUI JN,BAREILLY,418,0 days 14:55:00,14:50:00,05:45:00
3401,BAREILLY - BANDIKUI Passenger,54462,BAREILLY,BANDIKUI JN,160,0 days 06:10:00,20:25:00,02:35:00
3402,RISHIKESH - BANDIKUI Passenger,54464,RISHIKESH,BANDIKUI JN,579,0 days 21:50:00,14:10:00,12:00:00
3403,FARRUKHABAD - TUNDLA PASSENGER,54465,FARRUKHABAD,TUNDLA JN,389,0 days 14:00:00,15:45:00,05:45:00
3404,Chhindwara Ramakon Nagpur Passenger,58838,Chhindwara Junction,NAGPUR,148,0 days 05:50:00,23:00:00,04:50:00
3405,Prayag Faizabad Passenger,54373,PRAYAG,FAIZABAD JN,151,0 days 05:55:00,08:00:00,13:55:00
3406,Allahabad Passenger,54377,PRAYAG,BAREILLY,429,0 days 13:00:00,01:55:00,14:55:00
3407,Bareilly Allahabad Passenger,54378,BAREILLY,PRAYAG,431,0 days 14:20:00,09:30:00,23:50:00
3408,Najibabad Gajraula Passenger,54382,NAJIBABAD JN,GAJRAULA JN,107,0 days 04:30:00,08:30:00,13:00:00
3409,Gajraula Najibabad Passenger,54383,GAJRAULA JN,NAJIBABAD JN,107,0 days 04:05:00,15:15:00,19:20:00
3410,Najibabad Gajraula Passenger,54384,NAJIBABAD JN,GAJRAULA JN,107,0 days 03:25:00,17:15:00,20:40:00
3411,Najibabad Kotdwara Passenger,54385,NAJIBABAD JN,KOTDWARA,24,0 days 00:45:00,09:25:00,10:10:00
3412,Kotdwara Najibabad Passenger,54386,KOTDWARA,NAJIBABAD JN,24,0 days 00:45:00,10:30:00,11:15:00
3413,Najibabad Kotdwara Pass,54387,NAJIBABAD JN,KOTDWARA,24,0 days 00:45:00,11:35:00,12:20:00
3414,Kotdwara Najibabad Pass,54388,KOTDWARA,NAJIBABAD JN,24,0 days 00:45:00,12:40:00,13:25:00
3415,Najibabad Kotdwara Pass,54389,NAJIBABAD JN,KOTDWARA,24,0 days 00:45:00,17:45:00,18:30:00
3416,Kotdwara Najibabad Pass,54390,KOTDWARA,NAJIBABAD JN,24,0 days 00:45:00,18:50:00,19:35:00
3417,Meerut Khurja Passenger,54402,MEERUT CITY,KHURJA JN,94,0 days 03:50:00,05:25:00,09:15:00
3418,Khurja Meerut Passenger,54405,KHURJA JN,MEERUT CITY,94,0 days 03:25:00,17:45:00,21:10:00
3419,Meerut Khurja Passenger,54406,MEERUT CITY,KHURJA JN,94,0 days 02:50:00,17:45:00,20:35:00
3420,Rewari Meerut Cantt. Passenger,54411,REWARI,MEERUT CANT,167,0 days 05:40:00,14:50:00,20:30:00
3421,Meerut NDLS Rewari Passenger,54412,MEERUT CANT,REWARI,167,0 days 05:25:00,06:50:00,12:15:00
3422,Delhi Rewari Passenger,54413,OLD DELHI,REWARI,82,0 days 03:00:00,03:40:00,06:40:00
3423,Rewari Delhi Passenger,54414,REWARI,OLD DELHI,82,0 days 02:35:00,07:05:00,09:40:00
3424,Rewari Delhi Sarai Rohilla Passenger,54416,REWARI,OLD DELHI,82,0 days 02:35:00,13:10:00,15:45:00
3425,Delhi Rewari Passenger,54417,OLD DELHI,REWARI,82,0 days 02:35:00,16:10:00,18:45:00
3426,Rewari Delhi Passenger,54418,REWARI,OLD DELHI,82,0 days 02:35:00,17:00:00,19:35:00
3427,Delhi Sarai Rohilla Rewari Passenger,54419,OLD DELHI,REWARI,82,0 days 02:35:00,20:05:00,22:40:00
3428,Rewari Delhi Passenger,54420,REWARI,OLD DELHI,82,0 days 02:35:00,19:05:00,21:40:00
3429,Rewari Delhi Sarai Rohilla Passenger,54421,DELHI SARAI ROHILLA,REWARI,78,0 days 02:15:00,12:15:00,14:30:00
3430,Rewari Delhi Sarai Rohilla Passenger,54422,REWARI,DELHI SARAI ROHILLA,78,0 days 02:30:00,05:30:00,08:00:00
3431,BANDIKUI - RISHIKESH Passenger,54463,BANDIKUI JN,RISHIKESH,579,0 days 23:05:00,14:50:00,13:55:00
3432,Delhi Rishikesh Passenger,54471,OLD DELHI,RISHIKESH,311,0 days 10:55:00,17:35:00,04:30:00
3433,Rishikesh Delhi Passenger,54472,RISHIKESH,OLD DELHI,311,0 days 10:20:00,07:00:00,17:20:00
3434,Saharanpur Delhi Passenger,54474,SAHARANPUR,OLD DELHI,196,0 days 04:55:00,03:55:00,08:50:00
3435,Haridwar Passenger,54475,OLD DELHI,HARIDWAR JN,244,0 days 11:00:00,10:10:00,21:10:00
3436,Haridwar Delhi Passenger,54476,HARIDWAR JN,OLD DELHI,244,0 days 10:55:00,05:15:00,16:10:00
3437,Haridwar Rishikesh Passenger,54481,HARIDWAR JN,RISHIKESH,23,0 days 00:55:00,05:20:00,06:15:00
3438,Rishikesh Haridwar Passenger,54482,RISHIKESH,HARIDWAR JN,23,0 days 01:00:00,08:10:00,09:10:00
3439,Haridwar Rishikesh Passenger,54483,HARIDWAR JN,RISHIKESH,23,0 days 00:50:00,10:30:00,11:20:00
3440,Rishikesh Haridwar Passenger,54484,RISHIKESH,HARIDWAR JN,23,0 days 01:00:00,15:35:00,16:35:00
3441,Haridwar Rishikesh Passenger,54485,HARIDWAR JN,RISHIKESH,23,0 days 00:50:00,17:25:00,18:15:00
3442,Rishikesh Haridwar Passenger,54486,RISHIKESH,HARIDWAR JN,23,0 days 00:50:00,18:35:00,19:25:00
3443,Bhiwani Delhi Passenger,54502,Bhiwani,OLD DELHI,119,0 days 03:55:00,05:05:00,09:00:00
3444,Delhi Bhiwani Passenger,54503,OLD DELHI,Bhiwani,119,0 days 03:30:00,16:45:00,20:15:00
3445,Ambala Delhi Passenger,54506,AMBALA CANT JN,OLD DELHI,268,0 days 09:30:00,06:00:00,15:30:00
3446,Ambala Kalka Shuttle,54531,AMBALA CANT JN,Kalka,69,0 days 01:50:00,18:30:00,20:20:00
3447,AMBALA MEERUT PASS,54542,AMBALA CANT JN,MEERUT CITY,194,0 days 06:50:00,16:25:00,23:15:00
3448,Ambala Bhatinda Passenger,54551,AMBALA CANT JN,BHATINDA JN,200,0 days 05:50:00,12:15:00,18:05:00
3449,Ambala Dhuri Passenger,54553,AMBALA CANT JN,DHURI JN,105,0 days 03:05:00,15:50:00,18:55:00
3450,Ludhiana Ferozpur Passenger,54572,FIROZPUR CANT,LUDHIANA JN,124,0 days 03:20:00,11:25:00,14:45:00
3451,Lohian Khas Ludhiana Passenger,54575,LUDHIANA JN,LOHIAN KHAS JN,77,0 days 02:09:00,19:21:00,21:30:00
3452,Lohian Khas Ludhiana Passenger,54576,LOHIAN KHAS JN,LUDHIANA JN,77,0 days 02:35:00,05:50:00,08:25:00
3453,Etah Tundla Passenger,54468,Etah,TUNDLA JN,73,0 days 01:40:00,08:30:00,10:10:00
3454,Tundla Barhan Etah Passenger,54469,TUNDLA JN,Etah,73,0 days 01:45:00,10:45:00,12:30:00
3455,Etah Tundla Passenger,54470,Etah,TUNDLA JN,73,0 days 02:00:00,16:00:00,18:00:00
3456,Delhi Saharanpur Passenger,54473,OLD DELHI,SAHARANPUR,195,0 days 05:50:00,18:15:00,00:05:00
3457,Delhi Ambala Passenger,54505,OLD DELHI,AMBALA CANT JN,268,0 days 10:05:00,10:20:00,20:25:00
